longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-120.58961720677247,35.00265048395487,42,1534,2748,8165,4916,7.57,369165
-114.80482836364445,34.86407049926752,21,5788,254,13589,1997,7.2,419242
-117.00078082421349,41.067855602702956,37,2047,2478,3980,752,4.91,265017
-118.33946881866176,34.88822974058385,27,7051,1149,6032,2178,6.53,331308
-122.78357284995793,35.099046922870414,29,7411,126,10186,976,2.96,161315
-122.78381501582452,39.68593764935304,20,8065,865,8428,4283,4.9,279487
-123.76684053383127,36.772051917459585,25,3517,817,6433,3554,5.17,285613
-115.65359149641965,39.848846340948256,6,7011,2507,5859,2567,11.23,580663
-118.31480528209818,33.15509554268086,36,364,155,6585,2447,2.16,106361
-117.2409513189277,37.12804493246655,2,7260,2648,13970,1199,10.29,553091
-124.14333167727014,32.856303977724686,22,3257,2923,11368,3430,4.49,243490
-114.61210508429357,33.12956664451489,32,4628,2185,5167,1928,2.61,105737
-115.99227588636377,41.06957643597091,16,602,1796,12175,1303,5.56,285442
-122.2181153287901,33.85029894221657,18,8805,2978,761,1533,4.53,235867
-122.52447732924071,37.550078620209796,5,8436,1515,8073,359,8.95,483952
-122.50861872107151,36.408409620472646,36,6549,2637,6486,4002,6.32,338716
-121.29540788068624,35.808500700095706,30,4357,294,10102,3099,14.54,727210
-119.08144542641233,41.00743178291724,45,1067,2675,7987,1614,14.51,747698
-120.01327201283316,32.74535816365736,19,8410,1455,514,1550,7.49,394070
-121.42605943241166,38.78626094691229,23,564,1031,6950,4915,12.23,603861
-118.20699693698731,41.60554162594951,34,7667,2814,8634,65,1.68,139909
-122.9494816390535,37.81118260637594,13,6771,1786,2829,655,8.9,467824
-121.4168677287064,41.3554993677314,43,779,191,11742,1431,11.53,565224
-120.67172709333133,33.03174664408148,29,7874,942,11957,4958,4.43,255506
-119.77105735846095,36.48084513248786,36,8937,1441,12029,3433,2.33,171995
-116.46683334761414,34.9880848129529,22,6668,2449,3997,944,3.6,242266
-122.34527522713006,39.41702528046867,47,4350,594,12533,1617,7.46,376027
-119.18708623832734,41.77400562157909,36,3239,2249,12710,463,8.34,416093
-118.4021577286251,34.95394788760037,9,4337,1519,2269,4170,6.64,348158
-123.88363785629122,38.69578299987104,39,652,2750,13663,2054,7.44,379862
-118.25024968690956,34.404098724269154,51,6737,812,1978,365,7.85,410780
-122.63793779817959,37.85975769551885,19,1581,673,12262,4716,11.89,616176
-123.69688200642778,36.905604699737246,38,8354,705,6554,4870,2.92,169424
-114.82318920597653,41.68657015183277,6,1667,2547,12988,3105,11.88,564317
-114.65505438793143,38.26624163607375,47,2938,2818,4670,1899,10.8,565325
-116.23369062491074,35.828854961336965,15,7772,1297,10909,2003,11.51,627311
-121.29167775749936,33.61364133579545,20,9608,92,1615,438,11.42,639933
-123.3693719753759,33.96323265839573,9,6947,2361,674,2819,7.85,387397
-117.48030041381794,34.660232310841124,32,1080,1076,12734,4589,4.35,209587
-119.9308689628544,34.90159628321221,4,3349,1710,2967,3096,8.74,448723
-123.12473612215841,40.54429710428511,50,8476,1341,13898,2465,14.43,799019
-119.37842382248284,37.821106437738564,18,8092,645,3644,2439,9.45,509775
-124.0047392480032,37.46510847603279,5,4344,1062,4577,353,1.65,77289
-115.22042316312903,33.61997508428934,20,1368,2274,13691,813,2.31,128274
-121.75184898473583,40.63391451441819,23,3329,2160,171,2023,14.9,787834
-117.69827626508602,39.341682593191834,11,3845,1007,10860,865,2.47,164657
-121.22042079606231,33.176759285479015,37,2726,610,11729,927,2.12,130865
-119.12851706737477,39.200728264932124,22,3716,1380,3080,4848,6.27,337332
-118.86102879539347,37.6546946251943,4,3567,1362,9409,2376,14.59,701979
-122.4940612665237,33.30903550347718,29,7538,1871,5592,2479,5.8,328203
-114.61537033724383,36.852609036784656,44,3755,1600,10678,2110,7.03,373837
-116.56766645345441,37.10099206189374,34,5311,899,11800,4448,10.06,526356
-114.91743062669555,34.099938422936425,13,6952,1328,9651,1629,1.83,140401
-115.3659334017064,41.43901956327266,42,645,2701,4859,4305,13.62,680705
-118.3470842127367,40.538268245633034,9,6564,1583,9807,2251,8.51,450948
-115.09438268036791,38.83550019426691,42,3826,1864,8184,3647,7.8,429909
-123.46153527939872,36.890201229015716,31,4216,1791,14279,1253,13.12,668808
-122.38233206131177,36.41471374631023,7,4075,655,139,2474,14.37,740168
-123.8959180193382,38.66566032589048,4,5697,2927,9674,3925,7.22,407435
-121.08368347913682,37.67251389111898,19,6438,1536,10322,2873,3.83,203476
-120.4476800115176,33.125989926348545,42,461,1344,10913,3335,12.51,605421
-121.62565572099008,37.362649924928824,30,5192,795,5473,2113,6.94,400118
-116.02947540811464,40.12825803816102,31,4225,607,13353,2029,14.13,715770
-120.76819659999636,36.861447248187375,35,8483,2161,7665,4398,14.32,772263
-121.5294175227387,33.028911394785666,21,4422,991,2000,3181,3.05,139103
-118.90133132509118,39.93887785620375,31,4375,2346,2317,3142,14.41,692313
-122.93512078125337,34.43483318989952,19,9374,1319,4896,4876,6.47,377654
-116.29594231322945,34.97362205629644,31,3643,989,4706,3714,10.22,526664
-123.6015115374551,34.0898867857979,32,5211,1660,1383,2386,1.97,132027
-114.44165515653081,35.64732376044079,2,893,2254,8875,3664,13.5,716959
-116.59666251626156,39.66103166853006,10,8547,2832,13371,547,10.16,525988
-122.3548945573969,37.427420937932055,2,2012,1775,8750,3867,10.19,520323
-124.29455794407903,34.46793278975821,2,5924,1034,14964,4693,13.68,743169
-116.16276725831347,40.80038103541071,24,1607,1637,14293,181,8.36,404175
-117.25315226776992,40.816865255093894,17,8232,1386,14776,907,7.04,381465
-117.0307680328685,40.732142979682926,32,9608,1924,14492,570,13.19,672194
-116.60644571927311,34.787072349100285,16,1610,711,10557,79,11.52,628806
-123.60659169658973,36.7861622287431,16,3697,82,10958,3446,14.31,689894
-120.7510040854155,41.808752664285635,46,4572,1866,915,4654,14.19,748331
-123.18667464236769,39.80463740207701,39,7594,2655,2611,1310,6.66,344574
-115.68444160420904,32.79564543373252,31,751,2170,346,1608,7.53,359237
-118.09208680665132,33.15357520376123,43,9568,1939,4925,65,4.96,317119
-121.0277838304794,36.905594255804054,24,4532,2922,6616,3655,10.42,528809
-123.71187416312831,41.09576213715728,1,1197,1206,516,1657,6.42,340020
-121.22773748997474,37.60918391873504,11,4276,110,13442,3567,12.11,654480
-121.08515944685146,37.22441570060267,21,6299,1593,12755,2066,3.14,192508
-117.02475396948584,33.53250751659189,4,5755,321,6802,3624,3.07,200060
-117.94892298759366,38.720300785455606,7,4252,2343,3817,1793,4.26,235873
-115.44238406453368,40.27599074124812,26,5503,1249,207,3841,2.64,162055
-119.60896215137403,36.11975227064616,47,8318,2725,10923,3684,9.87,522391
-123.14927377077944,39.83850751720733,50,6302,1856,9130,1138,3.49,244587
-117.18902233628113,41.61572531320664,12,5690,2802,4613,1411,3.66,226306
-116.71171811188636,34.457442380391555,31,8764,2759,14031,3422,1.69,138756
